Title,URL,RemoteTesting,Adaptive/IRT,TestTypes
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,True,False,"A, E, B, C, D, P"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,True,True,K
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,True,False,K
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,True,False,K
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,True,False,K
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,True,False,K
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,True,False,K
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,True,False,K
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,True,False,S
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,True,False,K
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,True,False,S
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,True,False,K
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,True,False,K
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,True,True,K
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,True,False,K
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,True,False,K
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,True,False,K
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,True,False,K
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,True,False,P
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,True,False,K
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,True,False,K
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,True,False,K
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,True,False,K
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,True,False,K
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,True,False,K
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,True,False,K
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,True,False,K
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,True,False,K
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,True,False,K
