Title,Description,Job Levels,Languages,Assessment Length,Test Type,Remote Testing,URL
Contact Center Sales & Service 8.0,The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,"Entry-Level,","English International, English (USA),",31,"S, B, C, P",True,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/
Contact Center Manager - Short Form,"The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates; interacting day-to-day with subordinates; and training employees. Potential job titles that use this solution are: Contact Center Team Leader, First Line Supervisor, and Contact Center Manager.","Manager, Supervisor, Front Line Manager,","English (USA),",50,"A, B, P, S",True,https://www.shl.com/products/product-catalog/view/contact-center-manager-short-form/
Sales Support Specialist Solution,"The Sales Support Specialist solution is for entry to mid-level sales support positions in which employees work primarily under the guidance of an account manager or operations manager in support of client accounts. Sample tasks for these jobs include, but are not limited to: implementing customer orders, assisting with and coordinating activities, and utilizing processes to meet customer requirements. Potential job titles that use this solution are: Implementation Specialist, Project Assistant, and Sales Support Assistant. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",43,"A, B, P",True,https://www.shl.com/products/product-catalog/view/sales-support-specialist-solution/
General Entry Level - All Industries 7.1 Solution,"Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector.
“MCP Product: please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International.""","Entry-Level,","German, Norwegian, Finnish, French (Canada), Portuguese (Brazil), Latin American Spanish, English (USA), English International, Danish, Swedish, French, Italian,",19,B,True,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/
Healthcare Aide 7.0 Solution,"Our Healthcare Aide 7.0 solution is designed for individually-oriented, entry-level positions that directly support another person's health and well-being. The solution covers a wide variety of positions, and assesses behaviors critical for patient support roles including: understanding and following detailed instructions; administering personal care; being respectful and tolerant of patients; preparing and maintaining records of patient progress and services performed; and working hard to meet or exceed patient needs. Potential job titles that use this solution include: Personal Care Aide, Healthcare Aide, Home Health Aide, Dental Assistant.
Report Language Availability: English (USA), Latin American Spanish.","Entry-Level,","English (USA), French (Canada), Latin American Spanish,",22,B,True,https://www.shl.com/products/product-catalog/view/healthcare-aide-7-0-solution/
Professional + 7.0 Solution,"Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.
Report Language Availability: English (USA).","Mid-Professional, Professional Individual Contributor,","English International, English (USA),",51,"A, B, C",True,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/
Manager 7.0 Solution,"Our Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Latin American Spanish.","Manager, Front Line Manager,","French (Canada), Latin American Spanish, English International, English (USA),",35,"B, C",True,https://www.shl.com/products/product-catalog/view/manager-7-0-solution/
Industrial Professional and Skilled 7.1 Solution,"Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".","Entry-Level,","Portuguese (Brazil), Swedish, English International, Dutch, Italian, French, English (USA), French (Canada), Norwegian, German,",49,"A, B",True,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/
Contact Center Sales & Service + 8.0,"The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.","Entry-Level,","English International, English (USA),",41,"P, B, C, A, S",True,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0/
Apprentice + 8.0 Job Focused Assessment,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.","General Population, Graduate, Entry-Level,","English International, German,",30,"B, P",True,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
